index,Tweet,HS,stopwords,hastags,numerics,word_count,char_count,punctuation
41,beda  kewibawaannya   berwibawa  gubernur indonesia masya allah,0,0,0,0,11,63,0
42,anjir  kali  lihat orang bego  debat pilihan kepala daerah kerjanya menyerang karakter kecewa on  empok silvy and agus debat final pemilihan kepala daerah jakarta,1,0,0,0,28,162,0
43,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2   keanekaragaman budaya suku agama  sesungguhnya kekayaan   djarot  hadapan pese a rakercabsu,0,0,0,7,42,219,0
44,iya islam     lokalisasi  kristen  mas  nusantaranya mas lihat   gereja  bandung   pakai gamelan    khotbah pakai bahas sunda jawa  huria kristen batak protestan   nusantara,0,0,0,0,40,173,0
45,ciptakan situasi keamanan  ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi  tokoh masyarakat,0,0,0,1,19,147,0
46,positif  nse positif respon masyarakat   cangkul impor  garam impor  beras impor  jagung impor  tenaga kerja impor  esemka impor  n ,0,0,0,0,29,132,0
47,sembahyang mengadopsi tradisi lokal   pekerjaan hindu  istilah xc2 xa0sembahyang xc2 xa0pun lahir  tradisi ritus xc2 xa0menyembahhyang  tunggal   xc2 xa0shalat menyembah all,0,0,0,0,28,173,0
48,pendidikan   bodoh   larang bawa agama biar orang islam   bayar ahok sadar   memilih ahok gila,1,0,0,0,22,94,0
49,ahok the best abaikan kaum kampret otak micin,1,0,0,0,8,45,0
50,sih otak tempurung     meladeni   lawan    dungu       makan hehe,1,0,0,0,23,65,0
51,awaasss   beritanya   saudara gerung  susah mencari kosakatanya  bocor  memicing mata bibir monyong kesamping suara  ky  nhn kentut politik kotor  zaman    b   pulang  ky nhn ngeden dungu       x8b,1,0,0,0,49,197,0
52,pinokio umur 3 tahunan  2019 ganti presiden,1,0,0,2,8,43,0
53,cerita silat lae          kho merah muda oh   indonesia  liang ie shen penulis  cina,0,0,0,0,26,84,0
54,benci   umat islam,1,0,0,0,5,18,0
55,provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota   cebong mendeskripsikan kekalahan junjungannya for your information ahok    pemilihan apapun kecamatan  wakil    etnis mayoritas,1,0,0,0,35,225,0
56,gue nete,0,0,0,0,2,8,0
57,wkwk bani lowo,1,0,0,0,3,14,0
58,takabur  lahir    penguasa rakyat ulama  cendikia  iblis makhluk  alim amp  beribadah beratus ratus  dilaknat  hasud takaburnya    ahli ilmu filsafat   failosof mari  demo  sendi,0,0,0,0,40,178,0
59,a orang  suka  konser konser  boros,0,0,0,0,9,35,0
60,makan racun  ulama   hukum rokok mubah,0,0,0,0,9,38,0
61,susilo bambang yudhoyono presiden ri  6  khofifah emil    masyarakat no 1  bagus khofifah emil nomor,0,0,0,2,21,100,0
62,kali gue penggemar korea pop   mengomong  teman teman gue idol gue banci homo,1,0,0,0,16,77,0
63,suka video    kisah perseteruan haji bolot amp malih tongtong,0,0,0,0,12,61,0
64,budaya kafir bersungguh    islam  diindahkan,0,0,0,0,9,44,0
65,x8e xb6    hem hem     x8e xa7  diam  bisu   coba   rumput  bergoyang    x99 xab   x99 xab   x99 xab   x99 xaa   x99 xaa   x99 xaa,0,0,0,0,50,130,0
66,setan membisikkan was was kepadamu mintalah perlindungan  allah qs al a     x99raf 200  fussilat 36,0,0,0,2,21,99,0
67,ateis  sibuk  agama orang,0,0,0,0,6,25,0
68,lengserkan jokowi bangsat,1,0,0,0,3,25,0
69,selamat  kakak  2019 ganti presiden 2019 presiden,0,0,0,2,9,49,0
70,bajingan homo hati hati  anak anak    kamar mandi laki laki  biarkan   ,1,0,0,0,19,71,0
71,iya cocot,1,0,0,0,2,9,0
72,budaya indonesia,0,0,0,0,2,16,0
73,mengajarkan salat a   orang asing    memecah belah islam,0,0,0,0,13,56,0
74,x  berbicara    bangkai,1,0,0,0,7,23,0
75,memercayai  negara       dijajah   ranah    pembubaran sistem sistem beraja  negara    menjadikan  negara republik komunis  negara negara penjaja,0,0,0,0,34,145,0
76,menikmati kebijakan   diusulkan partai komunis indonesia  iya,1,0,0,0,10,61,0
77,seumpama orang cina  usir paksa  indonesia,1,0,0,0,8,42,0
78,bunda ngentot yuk,0,0,0,0,3,17,0
79,cina babi cina maling nusirchina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,0,0,0,15,101,0
80,karno anti asing  beliau  jawa coba deh adakan konsensus    jawa  anti asing  pro asing  kebo ohannya    keliru  tutup akun,0,0,0,0,31,123,0
81,proyek korupsi rezim susilo bambang yudhoyono  ,1,0,0,0,8,47,0
82,wajar  lihat  tingkah  petinggi negeri   suka mencampur bahas indonesia  bahas asing  kali bicara,0,0,0,0,20,97,0
83,ab pribadi  senang berkompetisi      positif,0,0,0,0,11,44,0
84,kitab suci agama    bilang om mendadak kalap,1,0,0,0,10,44,0
85,suka menutup mata  ditutup    te utup gara gara sipit,0,0,0,0,13,53,0
86,muslim    menistakan kitab suci alquran an   alquran an    suku    detik    makna faktualnya  umat islam       makna  tersirat fiksi,0,0,0,0,39,132,0
87,eh kasar  kampang,1,0,0,0,4,17,0
88,bentar  gue rilis album the onta si wkwk,0,0,0,0,9,40,0
89,cebong bang,1,0,0,0,2,11,0
90,najis banget gue mentwit  barusan he,0,0,0,0,7,36,0
91,transgender   anjing  ,1,0,0,0,6,22,0
92,awas bintitan  mengintip titit kucing,0,0,0,0,6,37,0
93,bawel bawa perasaan bolot  bodor   wkwk  ya    deh,0,0,0,0,15,50,0
94,gue menyarankan    bacot maling ayat langsung to the point    orang   sepaham  teriaki  kafir sesat liberal pemuja dukun bla blaaa  hatimu puas deh,1,0,0,0,33,147,0
95,salah target  ahok agenda utama lengserkan jokowi,1,0,0,0,8,49,0
96,kena tagar   kepanasan   banget 2019 ganti presiden,1,0,0,1,11,51,0
97,maju   duit   goyang kaki   pape   duit nak maju kat  bodoh  ,0,0,0,0,21,61,0
98,huria kristen batak protestan berdiri   pecahnya kristen katolik  zaman penjajahan belanda     namanya kristen protestan    kristen katolik  perpecahan  berdirilah huria kristen batak protestan  p  kali  tarutung      k,0,0,0,0,46,219,0
99,baca biar pintar jepang amerika cina utang    tau,0,0,0,0,11,49,0
100,prabowo  kalah menyebut bantuan jokowi  pencitraan  ratapan pilu,1,0,0,0,11,64,0
101,takut  azan  iblis,0,0,0,0,5,18,0
102,goblok   bani cebong tukang tipu penjilat penguasa  ketahuan gerakan   dibayar pakai nasi bungkus propaganda nasi bungkus   gagal,1,0,0,0,24,129,0
103,cebong sewot,1,0,0,0,2,12,0
104,2 gerakan  menekankan  kerja keras  total  tingkatkan potensi bangsa,0,0,0,1,13,68,0
105,gubernur   djarot mayoritas  ai politik  dewan perwakilan rakyat daerah  pendukung ahok djarot payah ya   ,1,0,0,0,22,106,0
106,rezim rusak  memperbaiki sistemnya  sibuk cari cari kesalahan    ketemu  komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang  engah  selesai  organisasi orangnya,0,0,0,0,30,181,0
107,orang orang  menuding antek asing asing sesungguhnya be epuk tangan,0,0,0,0,11,67,0
108,anti asing,0,0,0,0,2,10,0
109,selamat  semoga   berkiprah  tingkat nasional,0,0,0,0,9,45,0
110,asyik menang  sih  ulama,0,0,0,0,6,24,0
111,ketahui  diketapang  tenaga kerja asing asing     perusahaan  pt who tambang bauksit  viral  pemilihan presiden       kerja     era gubernur cornelis  wakilnya,0,0,0,0,39,159,0
112,anak pecun     hobi zina haha,1,0,0,0,9,29,0
113,bom surat berharga syariah negara,0,0,0,0,5,33,0
114,istirahat   presiden momentum      saksi telinga  mata  rapat pembentukan   pacitan  2003,0,0,0,1,22,89,0
115,1979 house select committee on assassination hsca menemukan cacat investigasi   fbi  warren commission hsca  menyimpulkan   tembakan      konspirasi  dalamnya,0,0,0,1,30,158,0
116,genap 1   17 april 2018  digelar hajatan pemilihan presiden acara tahunan negara indonesia  memilih presiden semoga senantiasa berjalan aman  lancar amin,0,0,0,3,26,153,0
117,ian pantat,0,0,0,0,2,10,0
118,mengakuinya orang pintar  beragama memangnya agama   memperbolehkan menista  menghujat orang   orang bodoh orang  maaf  lahir idiot     hargai   ciptaan tuhan  iblis   pintar   licik,0,0,0,0,41,182,0
119,pendaftaran calon presiden  pemilihan presiden 2019   dibuka  agustus 2018  normatif  politikus partai demokrasi indonesia perjuangan   paham 2019 ganti presiden,1,0,0,3,27,161,0
120,sih tolol  tau pemerintah rezim komunis  bobrok koruptor  pimpinan sidang dewan perwakilan rakyat paya cebong  ,1,0,0,0,20,111,0
121,gue   mantan mantan gue   sedih  kepikiran    tidur lo  gue   anak  berengsek    laki laki,0,0,0,0,28,90,0
122,cina perusak bangsa usir setuju,1,0,0,0,5,31,0
123,2019 ganti presiden  konstitusional hak  rakyat woiii  nih  plonga plongo  kelakuan otoriter,1,0,0,1,17,92,0
124,mari  wujudkan pilihan kepala daerah kota bengkulu 2018 aman  damai coki adem86 98heru,0,0,0,1,15,86,0
125,serius   presiden jokowi     islam nusantara    kristen nusantara buddha hindu  kong hucu nusantara,0,0,0,0,22,99,0
126,kebersamaan pernyataan moeldoko bukti istana takut  kebangkitan umat islam,0,0,0,0,10,74,0
127,cowok  jago drasex   ngentot  adik luvian,0,0,0,0,10,41,0
128,kroasia  kafir tau  belajar  kafir  lupa  kapling sorga,1,0,0,0,13,55,0
129,nya menteri suha o   homo,1,0,0,0,7,25,0
130,gue tau       culun  takut  orang   berubah perlahan lahan    buruk,0,0,0,0,22,67,0
131,perang salib   kerajaan  afrika terbagi   babilonia pemeluk kristen  tobaco pemeluk islam,0,0,0,0,17,89,0
132,kejar setoran   bangsat  rupiah turun       xa5,1,0,0,0,15,47,0
133,semoga   tindak  pelaporan  penista agama adek armando   langsung  ketua  front pembela islam kh shobri lubis  badan reserse kriminal markas  kepolisian republik indonesia gambir jaka a pusat  selasa 10 4  13 00  indonesia  barat perhaps,1,0,0,4,48,237,0
134,bangkai hajar,1,0,0,0,2,13,0
135,onta mati  kebanyakan minum,1,0,0,0,5,27,0
136,  ahok tng   was was hidupnya,1,0,0,0,9,29,0
137,sul teng  ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden  2019  jokowi ganti,1,0,0,3,18,99,0
138,6 pride yunani xe1 xbd x99 xcf   xce xb5 xcf   xce xb7 xcf   xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania keangkuhan harga  kesombongan dikenal   sebutan hubris vanity harga     mengubah manusia sombong kesombongan  manusia terkutuk dimata tuhan    manusia mencintai,0,0,0,1,59,273,0
139,be anya tujuan  hati logikaku    hati  tenang  be anya  logika hatiku sedih ku cari   wasiat  beliau tinggalkan     terasing  asing  mata manusia   duhai,0,0,0,0,40,153,0
140,be aji nya komisi pemberantasan korupsi era   era   komitmen  pemberantasan korupsi  surat pemberitahuan tahunan  era  susilo bambang yudhoyono,1,0,0,0,26,143,0
141,admin tolol   ai tolol  ai tolol  orang tolol,1,0,0,0,12,45,0
142,ayu ting ting goyang hot  raffi ahmad nagita slavina kampungan norak  ,0,0,0,0,14,70,0
143,video  tenaga kerja asing   malaysia  mengutip pernyataan,0,0,0,0,11,57,0
144,ppp  buru buru tolak wacana pilihan kepala daerah  dewan perwakilan rakyat daerah,0,0,0,0,14,81,0
145,random pagi pagi    menyamper  meja kerja   pakai bedak  sih biar mukanya bersih istri  butek   ku  pakai air wudhu  ku kristen,0,0,0,0,32,127,0
146,gue kampret,0,0,0,0,2,11,0
147,memek lonte  disodok kontol gede,0,0,0,0,6,32,0
148,jokowi   mundur tutup  ,1,0,0,0,7,23,0
149,berbicara   mulut  sepe i banci beli kaca  lihat dirimu bro,1,0,0,0,14,59,0
150,amin racist nada  dani nada ratna sih paiiit nada sih onta nada sih lobang anus   takut oi oi kehabisan obat penenang ya,1,0,0,0,25,120,0
151,tunggu komando imam bejat cabul tai bir       xba    bawa ulama dasar banj sempak,1,0,0,0,22,81,0
152,kabinet berantakan pemecah belah persatuan    rezim,1,0,0,0,9,51,0
153,ih mengakui  pintar  orang politik mengaca  oi tampang   k xc3  k orang bego wkwk,1,0,0,0,20,81,0
154,partai demokrasi indonesia perjuangan menang  menekan perusahaan tambang  target proyek  impossible  dilelang murah  antek cina ntb contoh  partai demokrasi indonesia perjuangan  menang dasar bajingan,1,0,0,0,31,200,0
155,percaya  mulut buaya mu bawang,1,0,0,0,6,30,0
156,2019  susilo bambang yudhoyono prabowo menyatu melawan mega jokowi  peristiwa 2004  terulang dimana partai demokrasi indonesia perjuangan  incumbent dikalahkan mutlak  susilo bambang yudhoyono   jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai   3 poros  pemilihan presiden mk salah  lawan,0,0,0,3,52,323,0
157,kayak banci kaleng  gatot   gaduh gentleman  mundur  bersaing  pemilihan presiden 2019 melawan jokowi,1,0,0,1,19,101,0
158,bebal,0,0,0,0,1,5,0
159,5    indonesia negara  populasi muslim terbesar  dunia   islam    musuh barat amp komunis   menghambat agenda  kepentingan  obviously,0,0,0,1,30,133,0
160,umuh  persib persib kunyuk,1,0,0,0,5,26,0
161,film muslim pilih ahok mati   disalatkan dijamin laris,1,0,0,0,10,54,0
162,banu banu yahudi   beda  banu banu kristen suriah salah  perbedaan  banu yahudi  pakai eloah elohim yahwe  suriah  pakai alah allah,0,0,0,0,28,131,0
163,eh  muka merah merah    cendol    setan cuaca  nih panas,0,0,0,0,17,56,0
164,pemberitaan saracen diframing katak seakan tim prabowo  anies sandi   media menumpahkan sakit hati katak  cebong ehe,1,0,0,0,20,116,0
165,giat bhayangkara pembina keamanan  ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing    rabu 11 april 2018 melaksanakan sambang desa  tatap muka  memantau keamanan  ketertiban masyarakat  pilihan kepala daerah 2018  desa lobusiregar i tepatnya  rumah rudi panjaitan helman siahaan  hotman siahaan,0,0,0,3,51,321,0
166,sayang banget ya  perempuan kayak    status     menempel  laki laki   aduh nagita slavina blak blak  ayu ting ting kampungan     x93 viva  ,0,0,0,0,38,139,0
167,lupa  kang umat katolik  minoritas  diperhatikan gubernur   golongan   golongan,0,0,0,0,16,79,0
168,cebong  dibilangi  kemarin  mengeyel situ memaksa   cebong,1,0,0,0,12,58,0
169,kelemahan gerindra    orang  prabowo turun elektabilitasnya  congor fadli zon surat pemberitahuan tahunan durno,1,0,0,0,18,111,0
170,selamat  kakak   kali  dirayakan   maknanya kali,0,0,0,0,12,48,0
171,foto  bisu  memiliki  a i  susah  ikan  sepe i  susah  ikan  putus,0,0,0,0,21,66,0
172,wkwk   mengalaminya                                  muncul grub wa a  bani abdi hadi a k a mbahku    mek kenal  orang        xa3       xa3,0,0,0,0,71,139,0
173,ayah pres badar  nuqaba  boekkk  nih hebat  bidang agama x takut natural killer tegur member     lawak hambar       lawak   orang  jom gerak    gerakan badan   chubby,0,0,0,0,46,166,0
174,anak pekan  mengilhamkan dasar ekonomi  deb   penggerak utama  kemajuan ekonomi  bandar beliau  allah ya rahman tun abdul razak ds malaysia memilih hogohundi,0,0,0,0,29,157,0
175,haha sialaaan nih sih    lapar presiden   disikat,0,0,0,0,12,49,0
176,menasihati kali   ugal ugalan nih rezim eh   negeri  keburu hancur    ekonomi moral menikah kacaoooooo,1,0,0,0,22,102,0
177,alah silit kebelet  dikasihani orang  sayang     media sosial gue  sadar     instansi kemarin  gue ceritakan duuuhhh       xa3       xa3       x85,0,0,0,0,48,146,0
178,iya  cacat,0,0,0,0,3,10,0
179,2019 rakyat makan aspal  beton   solusi jitu mengurangi kemiskinan keahlian cebong  1 tukang tipu cebong   goblok  ketulungan plonga plongo mengakibatkan optimisme  2019 ganti presiden,1,0,0,3,32,184,0
180,baca  harun yahya   membelot  kubu yahudi  freemason nya kadang suka  percaya,0,0,0,0,17,77,0
181,maju  ulama  bergerak   tokoh agama  indonesia  gus mus,0,0,0,0,14,55,0
182,,0,0,0,0,1,0,0
183,mukidi  percaya  pe anyaan mudah ya   keras      keras  nama,0,0,0,0,19,60,0
184,kemarin  hujat  mengharap dasar  bani kampret,1,0,0,0,9,45,0
185,penjelasan   fitnah silakan dibantah apollinaris darmawan  al alquran kitab sampah,1,0,0,0,13,82,0
186,monyet  koloe dibilang saudara    ogah hidupmu    ya  hati  comberan,1,0,0,0,18,68,0
187,body lufra scrub  bahan dasar lidah buaya  melembabkan kulit amp  bercahaya info 087812026394 body mass index,0,0,0,1,19,109,0
188,cacat      bermasa,0,0,0,0,7,18,0
189,penganut bumi datar        x9d  teori bumi bulat   orang asing  notabene musuh,0,0,0,0,22,78,0
190,becak warga binjai  disita   tenda be uliskan 2019 ganti presiden partai keadilan sejahtera meradang bukti pemerintah panik  takut,1,0,0,1,22,130,0
191,jokowi mundur,1,0,0,0,2,13,0
192,musyawarah nasional alim ulama ppp  semarang menghasilkan  rekomendasi syarat  kriteria kriteria  calon wakil presiden   mendampingi  jokowi  2019  romahurmuziy,0,0,0,1,27,160,0
193,pencerahan nya   gagal  anak ekonomi wkwk,0,0,0,0,9,41,0
194,kafan berasal  budaya yahudi  umat islam mengklaim,0,0,0,0,9,50,0
195,rezim   kendali negara cina komunis   patron tunggal rezim anti islam jokowi,1,0,0,0,15,76,0
196,tanda nya  pilihan kepala daerah  pemilihan presiden,0,0,0,0,9,52,0
197,misi 4 membangun masyarakat  gotong royong toleran  harmoni selaras nilai budaya jawa barat  luhur nomor  jawa barat asyik asyik menang,0,0,0,1,24,135,0
198,ketabahan pasangan  taufik  puan n iyana  wajar dicontohi jom   sumbangan  meringankan beban pasangan  come on twitter do your berpikir badan standarisasi nasional 0510541000096745 bank islam 05058020145124 n iyana bosan abdul razif,0,0,0,2,38,232,0
199,sih tai   doang belaganya  selangit    karma      idol  flop gue tertawa  keras,1,0,0,0,24,79,0
200,celeng kangen gue iya,0,0,0,0,4,21,0
201,terangi negeri  budaya yuk  mengunjungi  purwoke o mumpung  even rakyat purwoke o ekstra vaganza banyumas,0,0,0,0,19,105,0
202,presiden   dana taktis     kepentingan rakyatnya   program program pemerintah     program    pembangunan infrastruktur kip kartu indonesia sehat  ifikat tanah perhutanan sosial bahan bakar minyak 1 harga padat karya,0,0,0,1,42,215,0
203,amin ya allah timnya kinan   pelatihan ular     rawa rawa  dapatnya  sungai gede   musuhnya buaya wkwk,0,0,0,0,25,102,0
204,maju  memaki mama  bolot,1,0,0,0,6,24,0
205,gerombolan kadal jidat gosong   sukanya ribut   gerombolannya  salah pura pura budek dasar gerombolan cingkrang  ,1,0,0,0,21,113,0
206,gentarnya  takut  kafir,0,0,0,0,5,23,0
207,saracen    akun  kritis dianggap saracen  aneh jokowi,1,0,0,0,12,53,0
208,bego   teman gue najis  kesal  gue,1,0,0,0,10,34,0
209,kafir kristen   ulah,1,0,0,0,5,20,0
210,tau  bau baunya  keciri  sipit buluk,1,0,0,0,9,36,0
211,kayak memegang  mucikari,0,0,0,0,4,24,0
212,guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah  mendukung pilihan kepala daerah damai,0,0,0,0,21,137,0
213,anjir seram mainnya begituan               x8c,0,0,0,0,19,46,0
214,kayaknya    bank te entu bilang   jual uang asing tukar  rupiah,0,0,0,0,16,63,0
215,onta yaman nih  setahun  gue depo asi,1,0,0,0,9,37,0
216,hati hati berita pilihan kepala daerah  berbau hoaks madiun madiun today 100thmadiun kotak karismatik madiun tolak cukai ilegal kunjungi,0,0,0,0,20,136,0
217,anak cocot ya,1,0,0,0,3,13,0
218,x99 x88     x99 x88     x99 x88     x99 x88     x99 x88     x99 x88     x99 x88udah ketahuan hoaks ya fahri   ambil berita tuyg pembaruan   tong sampah diambil   screenshoot taunya berita,1,0,0,0,58,187,0
219,mantap direct message   barisan serba  bang,0,0,0,0,9,43,0
220,lebah   suka bunga  makan bangkai gue penasaran madu nya kayak        x94,0,0,0,0,21,73,0
221,indonesia mundur   bentuk,1,0,0,0,5,25,0
222,dongok  bilang hacker haha,0,0,0,0,5,26,0
223,haha blunder  cebong     protein energy malnutrition pusat  alasan ham  rakyat aceh ya  kali  coba  datangi pemerintah bilang suruh  hukum islam kaffah  aceh  dewan perwakilan rakyat a,1,0,0,0,39,184,0
224,bangsat gue  menyelam        1,0,0,0,1,12,30,0
225,dipancing pancing  urusan penistaan     berbicara pemahaman   fiksi  kitab suci,0,0,0,0,17,79,0
226,cebong kacung   teman gue dungunya   tulang sumsum   buang buang energi debat,1,0,0,0,17,77,0
227,ai korupsi sapi goblok,1,0,0,0,4,22,0
228,sinyal kontol pemeliharaan   niat  sih login twitter doang susah    open redtube setan,1,0,0,0,18,86,0
229,matanya     kafir wkwk,0,0,0,0,7,22,0
230,facebook anjir lupa,0,0,0,0,3,19,0
231,sih  bilang alah kontol,0,0,0,0,5,23,0
232,nikita mirzani  pakai hijab   berbicara cebang cebong   fantasikan   uh ah cokorers,1,0,0,0,18,83,0
233,tatapannya dialihkan  arah  enggan menatap pria mencurigakan      pe  kali  gaduh suasana  angie  menemukan   pria asing  tidur  sofanya kejadian sepe i,0,0,0,0,35,152,0
234,lahir  berkembangnya gerakan komunis  indonesia   dipisahkan   organisasi  bernama indische sociaal democratische vereeniging,0,0,0,0,19,125,0
235,shaheizy  wajah baharu calpis,0,0,0,0,5,29,0
236,ya terserah   balasnya  fokus  pekerjaan    tugas proyek seni budaya   2  setelahnya langsung dikumpul  dipresentasikan bersyukur nilainya memuaskan  kejadian proyek,0,0,0,1,31,165,0
237,bro,0,0,0,0,1,3,0
238,kelakuan bodoh masuk kategori perbuatan  menyenangkan  kelakuan sontoloyo  menganggu persatuan bangsa  kelakuan naif   langsung  bentuk intimidasi  ulama  kelakuan,1,0,0,0,27,163,0
239,monyet turun  pemukiman warga cibadak sukabumi  ,0,0,0,0,9,48,0
240,kotor     bahagia warganya cebong  nge i,1,0,0,0,11,40,0
241,giveaway taplak meja    menang  the rich chenle,0,0,0,0,11,47,0
242,kebuka    kebusukan kubu anies sandi  menang   berkah    prabowo berusaha cuci tangan,1,0,0,0,20,85,0
243,wkwk bodoh bang,0,0,0,0,3,15,0
244,kayak orang bego bro   b ego,1,0,0,0,8,28,0
245,kementerian lingkungan hidup  kehutanan upayakan pemerataan ekonomi  tora  kawasan hutan  perhutanan sosial tribun medan,0,0,0,0,18,120,0
246,mahfud md  berpaling  allah subhanahu wa taala pemberang  bangsa ajak  buang islam,1,0,0,0,16,82,0
247,orang orang bego kebanyakan minum amp makan kotoran onta otak nya somplak,1,0,0,0,12,73,0
248,terkuak        strategi kampanye   tim pemenangan anies sandi  ,1,0,0,0,18,63,0
249,warga badui  selesai memperingati tradisi seba  pendopo pemerintah kabupaten lebak  dilanjutkan  be emu  gubernur banten wahidin halim   sabtu 21 4 seba baduy 2018,0,0,0,3,30,163,0
250,lembaga lembaga anti korupsi   bubar  sentuh kekuasaan giliran komisi pemberantasan korupsi  partai demokrasi indonesia perjuangan  ai politik penguasa  pulang mengotot  bubarkan komisi pemberantasan korupsi,1,0,0,0,31,207,0
251,mas  menyudutkan salah  agama t entu  bahaya   rocky  cerdik   menyusun kalimat   amp   inti     kasih tau pnge ian fiksi  ayolah mas nya i,0,0,0,0,39,139,0
252,pendukung calon presiden gagal pindah on  sibuk urus asing bawa kabur uang rupiah 35 t   sadar  asing  kabur bawa uang    didukung pribumi anjing mustahil asing  pribumi  diam  disogok mental kacung   ,1,0,0,1,44,201,0
253,rabun  budek gue menulis  berbicara,1,0,0,0,7,35,0
